Feature,Air,Earth,Fire,Water
Jupiter (Trop),21.6550684559321,21.81014777075798,21.99421810845046,22.163744509343736
Jupiter (Vedic),22.04640012956392,21.653750780971624,21.93704892485046,21.985989967203672
Mars (Trop),22.208035979456316,21.877564007703203,22.294163995552832,21.23430287254084
Mars (Vedic),21.64682009294344,21.890962767603483,22.01658122957165,22.062669980332302
Mercury (Trop),22.741102018575493,22.15398963388644,20.727700982478375,21.994266082216686
Mercury (Vedic),22.18403435698449,23.007751419675717,21.561036753355175,20.86537194408127
Moon (Trop),21.582414619216298,21.911504207096876,22.021621670146814,22.102644064991324
Moon (Vedic),21.960478027688264,21.660446715660758,21.84472221522346,22.153168113887528
Neptune (Trop),22.86592245762432,21.34490268646003,21.47170260996141,21.8946281640818
Neptune (Vedic),22.499499442690947,22.222442102885186,21.16505712876729,21.510289626205434
NorthNode (Trop),21.909253476068404,22.363241489302577,22.243877729424202,21.07405063807557
NorthNode (Vedic),21.638815165527333,21.760320349259807,22.203188375527237,22.007777003760527
Pluto (Trop),20.966796577606004,24.18810939090654,22.265901341706616,20.400883736206648
Pluto (Vedic),20.43092840458018,22.34097178862821,23.98147146037919,21.413290747674182
Saturn (Trop),22.343220127489058,21.687675752157396,21.776154905906495,21.79418188388001
Saturn (Vedic),21.83868972311672,22.332327954518437,21.530679073125704,21.909208665871486
SouthNode (Trop),22.243877729424202,21.07405063807557,21.909253476068404,22.363241489302577
SouthNode (Vedic),22.203188375527237,22.007777003760527,21.638815165527333,21.760320349259807
Sun (Trop),23.02907341543917,20.987891067034543,20.921638222459165,22.67938627815607
Sun (Vedic),23.028057744179538,22.63118736055691,20.591881434817477,21.366819546444052
Uranus (Trop),21.70255591288959,21.6703250109759,21.6520388705343,22.683972556060834
Uranus (Vedic),21.940186970644486,21.541515262486932,21.90143381867498,22.20538902441413
Venus (Trop),22.420364224647173,21.670990172331088,22.03466170378768,21.49196627548739
Venus (Vedic),21.614522376058794,22.571621135218482,21.475778468603487,21.97466795372291
